ft,bt,km,transmission,ownerNo,oem,model,modelYear,price,Mileage,Seating Capacity,City
Diesel,SUV,100000,Automatic,2,Mercedes-Benz,Mercedes-Benz GL-Class,2014,3500000.0,11.3,7.0,Bangalore
Diesel,SUV,25000,Automatic,1,Tata,Tata New Safari,2021,2250000.0,14.08,6.0,Bangalore
Petrol,Hatchback,36735,Manual,1,Hyundai,Hyundai Grand i10,2018,625000.0,18.9,5.0,Bangalore
Diesel,SUV,79000,Automatic,1,Audi,Audi Q7,2015,2695000.0,12.07,7.0,Bangalore
Diesel,SUV,120000,Manual,2,Mahindra,Mahindra Scorpio,2010,650000.0,12.05,8.0,Bangalore
Petrol,Hatchback,10000,Automatic,1,Renault,Renault KWID,2022,550000.0,22.0,5.0,Bangalore
Diesel,SUV,53645,Manual,1,Tata,Tata Nexon,2018,825000.0,21.5,5.0,Bangalore
Petrol,Hatchback,100000,Manual,2,Hyundai,Hyundai Getz,2006,220000.00000000003,15.3,5.0,Bangalore
Petrol,Hatchback,53982,Automatic,1,Maruti,Maruti Celerio,2014,428000.0,26.68,5.0,Bangalore
Diesel,Sedan,110000,Manual,1,Skoda,Skoda Rapid,2014,695000.0,21.14,5.0,Bangalore
Petrol,SUV,37741,Manual,2,Ford,Ford Ecosport,2019,930000.0000000001,15.9,5.0,Bangalore
Petrol,Hatchback,17367,Manual,1,Maruti,Maruti Alto 800,2021,455000.0,22.05,5.0,Bangalore
Diesel,SUV,94000,Manual,1,Hyundai,Hyundai Creta,2017,1195000.0,19.67,5.0,Bangalore
Diesel,SUV,33700,Automatic,1,Tata,Tata Harrier,2021,2175000.0,14.6,5.0,Bangalore
Petrol,Hatchback,54601,Manual,3,Maruti,Maruti Swift,2014,442000.0,22.38,5.0,Bangalore
Diesel,Hatchback,110000,Manual,1,Maruti,Maruti Swift,2018,690000.0,28.4,5.0,Bangalore
Petrol,Hatchback,64000,Manual,2,Maruti,Maruti Celerio,2017,500000.0,23.1,5.0,Bangalore
Diesel,Sedan,40525,Automatic,1,BMW,BMW 3 Series GT,2016,3395000.0000000005,21.76,5.0,Bangalore
Diesel,Sedan,100000,Manual,1,Maruti,Maruti Ciaz,2015,650000.0,26.21,5.0,Bangalore
