ft,bt,km,transmission,ownerNo,oem,model,modelYear,price,Mileage,Seating Capacity,City
Diesel,Sedan,80000,Manual,1,Maruti,Maruti Ciaz,2017,850000.0,28.09,5.0,Chennai
Diesel,Sedan,80000,Manual,1,Maruti,Maruti Ciaz,2017,850000.0,28.09,5.0,Chennai
Diesel,SUV,57000,Automatic,1,Audi,Audi Q7,2020,6600000.0,14.75,7.0,Chennai
Diesel,MUV,800000,Manual,1,Toyota,Toyota Innova Crysta,2018,2150000.0,13.68,8.0,Chennai
Diesel,Sedan,5500000,Automatic,1,Mercedes-Benz,Mercedes-Benz C-Class,2018,3600000.0,19.27,5.0,Chennai
Diesel,Sedan,27000,Automatic,1,BMW,BMW 7 Series,2017,6800000.0,16.46,5.0,Chennai
Petrol,SUV,38334,Manual,1,Tata,Tata Nexon,2018,707000.0,17.0,5.0,Chennai
Petrol,Hatchback,36992,Manual,1,Volkswagen,Volkswagen Polo,2019,680000.0,17.74,5.0,Chennai
Diesel,SUV,50000,Automatic,2,BMW,BMW X3,2016,3750000.0,16.55,5.0,Chennai
Diesel,SUV,34596,Automatic,1,Tata,Tata New Safari,2021,2039000.0,14.08,6.0,Chennai
Petrol,Hatchback,84564,Manual,1,Datsun,Datsun GO,2019,401000.0,19.02,5.0,Chennai
Diesel,Sedan,60001,Automatic,2,Mercedes-Benz,Mercedes-Benz E-Class,2013,2150000.0,13.0,5.0,Chennai
Petrol,Hatchback,23462,Manual,1,Hyundai,Hyundai Santro,2018,505000.0,20.3,5.0,Chennai
Petrol,SUV,13000,Automatic,1,Volkswagen,Volkswagen Taigun,2022,1599000.0,18.41,5.0,Chennai
Diesel,Sedan,54658,Automatic,1,Honda,Honda Amaze,2019,830000.0000000001,23.8,5.0,Chennai
Petrol,SUV,34164,Manual,1,Mahindra,Mahindra XUV300,2020,1036000.0,16.82,5.0,Chennai
Petrol,SUV,10000,Manual,1,Kia,Kia Seltos,2022,1595000.0,16.8,5.0,Chennai
Petrol,Hatchback,70000,Manual,3,Fiat,Fiat Punto,2010,100000.0,14.6,5.0,Chennai
Petrol,SUV,37000,Manual,1,Hyundai,Hyundai Venue,2020,825000.0,17.52,5.0,Chennai
Diesel,SUV,20000,Automatic,1,Mahindra,Mahindra XUV700,2022,2900000.0,18.9,7.0,Chennai
Petrol,Hatchback,53967,Manual,1,Maruti,Maruti Baleno,2016,550000.0,21.4,5.0,Chennai
Petrol,Hatchback,52700,Manual,1,Hyundai,Hyundai i10,2011,299000.0,20.36,5.0,Chennai
Petrol,SUV,60000,Automatic,1,Tata,Tata Nexon,2018,750000.0,17.0,5.0,Chennai
Petrol,Hatchback,53967,Manual,1,Maruti,Maruti Baleno,2016,550000.0,21.4,5.0,Chennai
Petrol,Sedan,99225,Manual,2,Honda,Honda Amaze,2014,375000.0,18.6,5.0,Chennai
Petrol,Sedan,60000,Manual,2,Fiat,Fiat Linea,2011,265000.0,16.0,5.0,Chennai
Petrol,Hatchback,48220,Automatic,1,Honda,Honda Jazz,2020,808000.0,17.1,5.0,Chennai
Petrol,Hatchback,72024,Manual,1,Honda,Honda Jazz,2016,542000.0,18.7,5.0,Chennai
Petrol,Sedan,80000,Automatic,1,Honda,Honda Amaze,2016,529000.0,15.5,5.0,Chennai
Petrol,Hatchback,78735,Manual,1,Volkswagen,Volkswagen Polo,2017,684000.0,16.2,5.0,Chennai
Diesel,SUV,72955,Manual,2,Ford,Ford Ecosport,2018,813000.0000000001,23.0,5.0,Chennai
Petrol,Sedan,40000,Automatic,1,Maruti,Maruti Ciaz,2015,650000.0,19.12,5.0,Chennai
Petrol,SUV,14037,Manual,1,Jeep,Jeep Compass,2021,1802000.0,14.3,5.0,Chennai
Petrol,Hatchback,29000,Manual,1,Hyundai,Hyundai i20,2019,745000.0,18.6,5.0,Chennai
Petrol,Hatchback,69864,Manual,1,Maruti,Maruti Baleno,2017,619000.0,21.4,5.0,Chennai
Petrol,Sedan,35739,Manual,1,Hyundai,Hyundai Xcent,2019,650000.0,20.14,5.0,Chennai
Petrol,Hatchback,120000,Automatic,2,Honda,Honda Jazz,2016,500000.0,19.0,5.0,Chennai
Diesel,MUV,18000,Manual,1,Maruti,Maruti Ertiga,2019,1145000.0,24.52,7.0,Chennai
Diesel,SUV,21000,Manual,1,Tata,Tata Harrier,2019,1600000.0,16.35,5.0,Chennai
Petrol,Hatchback,70404,Manual,1,Maruti,Maruti Baleno,2016,540000.0,21.4,5.0,Chennai
Petrol,Sedan,63000,Manual,1,Volkswagen,Volkswagen Vento,2015,675000.0,16.09,5.0,Chennai
Petrol,Sedan,88000,Manual,2,Volkswagen,Volkswagen Ameo,2017,509999.99999999994,17.0,5.0,Chennai
Petrol,Sedan,65000,Manual,1,Honda,Honda City,2017,830000.0000000001,17.4,5.0,Chennai
Diesel,SUV,30000,Automatic,2,Land Rover,Land Rover Discovery Sport,2017,3900000.0,12.51,7.0,Chennai
Petrol,Sedan,71423,Automatic,1,Honda,Honda City,2012,509999.99999999994,15.6,5.0,Chennai
Petrol,MUV,80000,Automatic,1,Maruti,Maruti XL6,2019,1200000.0,17.99,6.0,Chennai
Petrol,Sedan,85759,Manual,1,Honda,Honda City,2017,766000.0,17.8,5.0,Chennai
Petrol,Hatchback,24422,Manual,1,Hyundai,Hyundai Santro,2019,449000.0,20.3,5.0,Chennai
Petrol,Sedan,90000,Manual,4,Hyundai,Hyundai Verna,2017,750000.0,17.0,5.0,Chennai
Petrol,Hatchback,67091,Manual,2,Honda,Honda Brio,2012,317000.0,19.4,5.0,Chennai
Petrol,SUV,72787,Manual,1,MG,MG Hector,2020,1560000.0,15.81,5.0,Chennai
Diesel,SUV,120000,Manual,2,Ford,Ford Endeavour,2017,1900000.0,13.5,7.0,Chennai
Petrol,Hatchback,90142,Manual,1,Hyundai,Hyundai Grand i10,2017,522000.0,18.9,5.0,Chennai
Petrol,Hatchback,150000,Manual,1,Hyundai,Hyundai i20,2015,500000.0,18.6,5.0,Chennai
Petrol,Hatchback,33256,Manual,1,Ford,Ford Freestyle,2018,627000.0,19.0,5.0,Chennai
Petrol,Hatchback,70027,Automatic,1,Maruti,Maruti Baleno,2018,687000.0,21.4,5.0,Chennai
Diesel,Sedan,120000,Manual,3,Hyundai,Hyundai Sonata,2007,204999.99999999997,13.6,5.0,Chennai
Petrol,Hatchback,60000,Manual,2,Volkswagen,Volkswagen Polo,2015,525000.0,16.2,5.0,Chennai
Diesel,Hatchback,73686,Manual,1,Maruti,Maruti Swift,2017,620000.0,25.2,5.0,Chennai
Diesel,SUV,44000,Manual,2,Mahindra,Mahindra TUV 300,2018,825000.0,18.49,7.0,Chennai
Petrol,Hatchback,75581,Manual,1,Maruti,Maruti Swift,2015,530000.0,21.21,5.0,Chennai
Diesel,SUV,58000,Automatic,1,Mercedes-Benz,Mercedes-Benz M-Class,2015,3600000.0,15.26,5.0,Chennai
Diesel,Sedan,50000,Automatic,2,Audi,Audi A3,2015,1950000.0,20.38,5.0,Chennai
Diesel,SUV,100000,Manual,1,Mahindra,Mahindra TUV 300,2015,650000.0,18.49,7.0,Chennai
Diesel,Sedan,108902,Manual,1,Maruti,Maruti Ciaz,2017,650000.0,28.09,5.0,Chennai
Diesel,Sedan,100425,Manual,1,Volkswagen,Volkswagen Ameo,2016,570000.0,21.66,5.0,Chennai
Petrol,Sedan,70887,Manual,2,Hyundai,Hyundai Xcent,2016,458000.0,19.1,5.0,Chennai
Petrol,Sedan,114981,Manual,2,Honda,Honda City,2016,577000.0,17.8,5.0,Chennai
Petrol,SUV,45000,Manual,1,Honda,Honda WR-V,2018,900000.0,17.5,5.0,Chennai
Petrol,Hatchback,45416,Manual,1,Hyundai,Hyundai Grand i10 Nios,2021,649000.0,20.7,5.0,Chennai
Petrol,Hatchback,119468,Manual,1,Hyundai,Hyundai i20,2016,549000.0,18.6,5.0,Chennai
Diesel,Sedan,100000,Automatic,3,Volkswagen,Volkswagen Vento,2015,650000.0,21.21,5.0,Chennai
Petrol,Sedan,119975,Manual,1,Maruti,Maruti Swift Dzire,2017,513999.99999999994,22.41,5.0,Chennai
Petrol,Sedan,19000,Automatic,1,BMW,BMW 3 Series,2017,3900000.0,15.34,5.0,Chennai
Petrol,Hatchback,64906,Manual,2,Hyundai,Hyundai Grand i10,2016,455999.99999999994,18.9,5.0,Chennai
Petrol,Hatchback,81484,Manual,2,Maruti,Maruti Baleno,2016,501999.99999999994,21.4,5.0,Chennai
Petrol,Sedan,45067,Manual,1,Maruti,Maruti Swift Dzire,2018,685000.0,21.21,5.0,Chennai
Petrol,Sedan,68000,Automatic,1,Mercedes-Benz,Mercedes-Benz S-Class,2018,11000000.0,7.81,4.0,Chennai
Petrol,Hatchback,65768,Manual,1,Honda,Honda Jazz,2016,580000.0,18.7,5.0,Chennai
Petrol,Hatchback,61000,Manual,2,Honda,Honda Jazz,2016,530000.0,18.7,5.0,Chennai
Diesel,Sedan,50000,Automatic,3,Mercedes-Benz,Mercedes-Benz S-Class,2009,1700000.0,13.0,5.0,Chennai
Diesel,Sedan,23000,Automatic,1,BMW,BMW 5 Series,2018,4375000.0,18.12,5.0,Chennai
Diesel,Sedan,17000,Automatic,1,BMW,BMW 7 Series,2018,8200000.0,16.46,5.0,Chennai
Petrol,Hatchback,102958,Automatic,1,Maruti,Maruti Celerio,2017,420000.0,23.1,5.0,Chennai
Diesel,Sedan,62900,Manual,1,Toyota,Toyota Corolla Altis,2013,775000.0,21.43,5.0,Chennai
Petrol,Hatchback,65076,Manual,2,Maruti,Maruti Wagon R,2015,395000.0,20.51,5.0,Chennai
Petrol,Hatchback,75876,Manual,1,Maruti,Maruti Baleno,2016,533000.0,21.4,5.0,Chennai
Petrol,Hatchback,98911,Manual,1,Hyundai,Hyundai i20,2015,547000.0,18.6,5.0,Chennai
Petrol,Hatchback,45000,Manual,1,Maruti,Maruti Celerio,2015,395000.0,23.1,5.0,Chennai
Diesel,Sedan,76089,Automatic,1,Hyundai,Hyundai Verna,2017,908000.0,19.08,5.0,Chennai
Petrol,Hatchback,54505,Manual,2,Hyundai,Hyundai Grand i10,2017,521000.0,18.9,5.0,Chennai
Diesel,Sedan,24000,Automatic,1,Audi,Audi A3,2019,2290000.0,20.38,5.0,Chennai
Petrol,Sedan,96573,Manual,1,Maruti,Maruti Swift Dzire,2016,507000.0,22.41,5.0,Chennai
Diesel,SUV,30000,Automatic,1,Kia,Kia Seltos,2019,1625000.0,18.9,5.0,Chennai
Petrol,Hatchback,63720,Manual,2,Hyundai,Hyundai Grand i10,2016,528000.0,18.9,5.0,Chennai
Petrol,Hatchback,14411,Manual,1,Maruti,Maruti Alto 800,2021,434999.99999999994,22.05,5.0,Chennai
Petrol,SUV,11000,Automatic,1,Volkswagen,Volkswagen Taigun,2022,1490000.0,18.41,5.0,Chennai
Petrol,SUV,21000,Automatic,1,Skoda,Skoda Kushaq,2022,1789999.9999999998,18.86,5.0,Chennai
Petrol,SUV,34392,Manual,1,Honda,Honda WR-V,2017,625000.0,17.5,5.0,Chennai
Petrol,Hatchback,20000,Manual,1,Hyundai,Hyundai Grand i10 Nios,2022,690000.0,20.7,5.0,Chennai
Petrol,SUV,10000,Manual,1,Kia,Kia Sonet,2022,1350000.0,18.2,5.0,Chennai
Petrol,SUV,20000,Automatic,1,MG,MG Astor,2022,1550000.0,14.82,5.0,Chennai
Petrol,Hatchback,47000,Automatic,1,Toyota,Toyota Glanza,2019,790000.0,19.56,5.0,Chennai
Petrol,Hatchback,60333,Manual,2,Maruti,Maruti Alto K10,2014,270000.0,23.95,5.0,Chennai
Diesel,Hatchback,81058,Manual,1,Hyundai,Hyundai Grand i10,2014,365000.0,24.0,5.0,Chennai
Petrol,Sedan,51800,Manual,2,Honda,Honda Civic,2010,425000.0,13.5,5.0,Chennai
Petrol,Hatchback,32797,Manual,2,Hyundai,Hyundai Grand i10,2016,528000.0,18.9,5.0,Chennai
Petrol,Hatchback,69731,Manual,1,Hyundai,Hyundai Grand i10,2016,511000.00000000006,18.9,5.0,Chennai
Petrol,Sedan,54000,Manual,2,Honda,Honda City,2016,625000.0,17.8,5.0,Chennai
Petrol,Hatchback,110267,Manual,2,Nissan,Nissan Micra Active,2016,327000.0,19.49,5.0,Chennai
Petrol,SUV,31767,Manual,1,Mahindra,Mahindra KUV 100,2018,505000.0,18.15,6.0,Chennai
Petrol,SUV,45677,Manual,2,Honda,Honda WR-V,2018,640000.0,17.5,5.0,Chennai
Petrol,Hatchback,66656,Manual,1,Maruti,Maruti Celerio,2017,449000.0,25.24,5.0,Chennai
Diesel,Sedan,27000,Manual,1,Honda,Honda Amaze,2019,725000.0,24.7,5.0,Chennai
Petrol,Hatchback,37004,Manual,1,Renault,Renault KWID,2021,495000.0,21.74,5.0,Chennai
Petrol,Hatchback,85274,Manual,2,Hyundai,Hyundai i10,2011,271000.0,20.36,5.0,Chennai
Diesel,SUV,60000,Manual,2,Hyundai,Hyundai Creta,2017,940000.0,19.67,5.0,Chennai
Petrol,Sedan,42000,Manual,1,Honda,Honda City,2017,799000.0,17.4,5.0,Chennai
Diesel,SUV,20000,Manual,1,Hyundai,Hyundai Creta,2022,1850000.0,18.9,5.0,Chennai
Diesel,MUV,30000,Automatic,1,Kia,Kia Carens,2022,2000000.0,18.9,7.0,Chennai
Diesel,Sedan,25000,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2017,4500000.0,16.1,5.0,Chennai
Diesel,SUV,80000,Manual,3,Mahindra,Mahindra XUV500,2014,700000.0,15.1,7.0,Chennai
Petrol,Sedan,60000,Manual,2,Hyundai,Hyundai Verna,2015,585000.0,17.1,5.0,Chennai
Diesel,SUV,20000,Manual,1,Tata,Tata Harrier,2022,2050000.0,16.35,5.0,Chennai
Petrol,SUV,20000,Automatic,1,MG,MG Hector,2022,1989999.9999999998,18.9,5.0,Chennai
Petrol,SUV,20000,Automatic,1,MG,MG Hector,2022,1989999.9999999998,18.9,5.0,Chennai
Diesel,SUV,55037,Manual,2,Hyundai,Hyundai Creta,2020,1445000.0,18.9,5.0,Chennai
Petrol,Hatchback,65607,Manual,1,Hyundai,Hyundai Santro,2018,451000.0,20.3,5.0,Chennai
Cng,MUV,70000,Manual,1,Maruti,Maruti Ertiga Tour,2021,1100000.0,18.9,7.0,Chennai
Petrol,Hatchback,74777,Manual,1,Hyundai,Hyundai i20,2016,631000.0,18.6,5.0,Chennai
Petrol,Sedan,102392,Manual,2,Toyota,Toyota Etios,2012,411000.00000000006,17.6,5.0,Chennai
Diesel,Sedan,90210,Manual,1,Skoda,Skoda Rapid,2015,500000.0,21.14,5.0,Chennai
Petrol,Sedan,62373,Manual,1,Maruti,Maruti Swift Dzire,2014,488000.0,22.41,5.0,Chennai
Diesel,Sedan,80000,Manual,1,Tata,Tata Zest,2015,459999.99999999994,22.95,5.0,Chennai
Petrol,Hatchback,25219,Automatic,2,Maruti,Maruti Celerio,2018,513999.99999999994,26.0,5.0,Chennai
Diesel,Hatchback,64409,Manual,3,Maruti,Maruti Swift,2014,508000.0,25.2,5.0,Chennai
Diesel,SUV,52000,Manual,1,Tata,Tata Nexon,2018,865000.0,21.5,5.0,Chennai
Petrol,Sedan,30000,Automatic,2,Maruti,Maruti Ciaz,2018,855000.0000000001,20.28,5.0,Chennai
Diesel,Sedan,14000,Automatic,1,Mercedes-Benz,Mercedes-Benz S-Class,2020,11800000.0,13.5,5.0,Chennai
Diesel,SUV,48574,Manual,1,Hyundai,Hyundai Venue,2019,925000.0,23.7,5.0,Chennai
Petrol,Sedan,71423,Automatic,1,Honda,Honda City,2012,509999.99999999994,16.8,5.0,Chennai
Diesel,Sedan,30000,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2020,5700000.0,16.1,5.0,Chennai
Petrol,Hatchback,75498,Manual,1,Maruti,Maruti Wagon R,2013,350000.0,18.9,5.0,Chennai
Petrol,Sedan,95963,Manual,1,Honda,Honda City,2017,630000.0,17.8,5.0,Chennai
Petrol,Hatchback,46613,Manual,1,Maruti,Maruti Wagon R,2015,409999.99999999994,20.51,5.0,Chennai
Petrol,SUV,30000,Manual,1,Honda,Honda WR-V,2017,725000.0,17.5,5.0,Chennai
Petrol,Sedan,18722,Manual,1,Honda,Honda Amaze,2015,466000.0,18.0,5.0,Chennai
Petrol,SUV,5593,Automatic,1,Kia,Kia Seltos,2023,1864000.0,16.5,5.0,Chennai
Diesel,SUV,40000,Automatic,1,Audi,Audi Q3,2017,2700000.0,15.73,5.0,Chennai
Petrol,Hatchback,20875,Manual,1,Maruti,Maruti Celerio,2021,503000.0,25.24,5.0,Chennai
Petrol,Hatchback,46436,Manual,2,Renault,Renault KWID,2018,309000.0,25.17,5.0,Chennai
Petrol,Sedan,127672,Automatic,1,Honda,Honda City,2016,640000.0,18.0,5.0,Chennai
Petrol,SUV,12814,Manual,1,Hyundai,Hyundai Venue,2021,841000.0,17.52,5.0,Chennai
Diesel,SUV,26000,Manual,1,Tata,Tata New Safari,2022,1889999.9999999998,16.14,7.0,Chennai
Petrol,Hatchback,45851,Manual,1,Hyundai,Hyundai i10,2011,288000.0,20.36,5.0,Chennai
Petrol,SUV,36349,Manual,1,Hyundai,Hyundai Venue,2021,940000.0,18.0,5.0,Chennai
Petrol,Hatchback,35000,Automatic,1,Volkswagen,Volkswagen Polo,2018,844999.9999999999,17.21,5.0,Chennai
Diesel,SUV,17059,Automatic,1,Tata,Tata New Safari,2021,2055999.9999999998,14.08,7.0,Chennai
Diesel,SUV,37000,Automatic,1,BMW,BMW X5,2019,7700000.0,13.38,5.0,Chennai
Petrol,Hatchback,48163,Manual,2,Maruti,Maruti Wagon R,2016,400000.0,20.51,5.0,Chennai
Petrol,Sedan,40000,Manual,3,Maruti,Maruti Swift Dzire,2013,425000.0,19.1,5.0,Chennai
Diesel,Sedan,150000,Manual,2,Tata,Tata Indigo,2008,200000.0,17.0,5.0,Chennai
Petrol,Hatchback,20000,Manual,1,Volkswagen,Volkswagen Polo,2020,750000.0,17.74,5.0,Chennai
Diesel,SUV,47000,Automatic,1,Hyundai,Hyundai Creta,2019,1689999.9999999998,17.6,5.0,Chennai
Petrol,Hatchback,112711,Manual,1,Hyundai,Hyundai i10,2013,310000.0,20.36,5.0,Chennai
Diesel,SUV,53000,Automatic,1,Toyota,Toyota Fortuner,2020,3900000.0,15.04,7.0,Chennai
Petrol,Hatchback,65895,Automatic,2,Maruti,Maruti Celerio,2016,437000.0,26.68,5.0,Chennai
Petrol,SUV,15625,Automatic,1,Mahindra,Mahindra XUV300,2022,1026000.0,17.0,5.0,Chennai
Diesel,Hatchback,107595,Manual,1,Maruti,Maruti Swift,2015,560000.0,25.2,5.0,Chennai
Petrol,Hatchback,23838,Manual,1,Maruti,Maruti Ignis,2017,532000.0,20.89,5.0,Chennai
Petrol,Hatchback,28975,Manual,1,Maruti,Maruti Alto K10,2015,323000.0,24.39,5.0,Chennai
Petrol,SUV,30742,Manual,1,Honda,Honda WR-V,2018,770000.0,17.5,5.0,Chennai
Petrol,Hatchback,10363,Manual,1,Maruti,Maruti S-Presso,2022,492000.0,21.7,5.0,Chennai
Petrol,Sedan,100000,Manual,1,Honda,Honda City,2015,650000.0,17.4,5.0,Chennai
Petrol,Sedan,75555,Manual,1,Honda,Honda City,2016,633000.0,17.8,5.0,Chennai
Petrol,SUV,60929,Manual,2,Hyundai,Hyundai Creta,2018,982000.0,15.8,5.0,Chennai
Diesel,SUV,78000,Automatic,2,BMW,BMW X5,2009,1350000.0,11.7,5.0,Chennai
Diesel,SUV,120000,Manual,1,Maruti,Maruti Vitara Brezza,2017,900000.0,24.3,5.0,Chennai
Diesel,Sedan,143185,Manual,1,Honda,Honda Amaze,2014,370000.0,25.8,5.0,Chennai
Petrol,Sedan,115434,Manual,1,Maruti,Maruti Ciaz,2017,620000.0,20.73,5.0,Chennai
Petrol,Hatchback,43000,Manual,1,Maruti,Maruti Ignis,2018,480000.0,20.89,5.0,Chennai
Petrol,Hatchback,63309,Manual,1,Honda,Honda Brio,2015,430000.0,18.5,5.0,Chennai
Diesel,Hatchback,150000,Manual,1,Maruti,Maruti Swift,2015,500000.0,25.2,5.0,Chennai
Diesel,Sedan,53000,Automatic,1,BMW,BMW 7 Series,2019,7600000.0,16.46,5.0,Chennai
Petrol,Hatchback,39386,Manual,1,Maruti,Maruti Baleno,2019,790000.0,21.01,5.0,Chennai
Diesel,Sedan,42000,Automatic,1,BMW,BMW 6 Series,2018,5200000.0,17.09,4.0,Chennai
Petrol,MUV,29257,Automatic,1,Renault,Renault Triber,2021,776000.0,18.2,7.0,Chennai
Petrol,Hatchback,61829,Automatic,1,Maruti,Maruti Baleno,2017,702000.0,21.4,5.0,Chennai
Petrol,Hatchback,83901,Manual,1,Maruti,Maruti Alto K10,2014,290000.0,23.95,5.0,Chennai
Petrol,Hatchback,33295,Manual,1,Maruti,Maruti Celerio,2014,383000.0,25.24,5.0,Chennai
Petrol,Hatchback,33610,Manual,1,Maruti,Maruti Celerio,2015,411000.00000000006,25.24,5.0,Chennai
Diesel,Sedan,95600,Manual,1,Maruti,Maruti Ciaz,2014,615000.0,26.21,5.0,Chennai
Petrol,Hatchback,20960,Manual,1,Tata,Tata Tiago,2018,515000.00000000006,23.84,5.0,Chennai
Diesel,Sedan,66000,Automatic,1,BMW,BMW 3 Series,2016,2575000.0,20.37,5.0,Chennai
Petrol,Hatchback,85105,Manual,2,Hyundai,Hyundai i20,2015,507000.0,18.6,5.0,Chennai
Petrol,Hatchback,44519,Manual,2,Hyundai,Hyundai EON,2016,322000.0,21.1,5.0,Chennai
Petrol,Hatchback,54024,Manual,1,Maruti,Maruti Baleno,2017,575000.0,21.4,5.0,Chennai
Petrol,Hatchback,20027,Manual,1,Maruti,Maruti Baleno,2020,850000.0,21.01,5.0,Chennai
Diesel,Sedan,44000,Automatic,1,Audi,Audi A6,2019,3700000.0,18.53,5.0,Chennai
Diesel,SUV,58000,Automatic,1,Audi,Audi Q3,2014,1800000.0,15.73,5.0,Chennai
Diesel,Sedan,67905,Manual,1,Honda,Honda Amaze,2013,425000.0,25.8,5.0,Chennai
Petrol,Hatchback,62604,Manual,1,Maruti,Maruti Baleno,2017,650000.0,21.01,5.0,Chennai
Diesel,MUV,120000,Manual,1,Toyota,Toyota Innova,2009,750000.0,12.8,7.0,Chennai
Diesel,Sedan,105781,Manual,1,Honda,Honda Amaze,2014,450000.0,25.8,5.0,Chennai
Petrol,Sedan,68724,Manual,1,Maruti,Maruti Ciaz,2017,720000.0,20.73,5.0,Chennai
Petrol,Hatchback,67000,Automatic,1,Maruti,Maruti Celerio,2014,425000.0,23.1,5.0,Chennai
Petrol,Hatchback,110273,Manual,2,Hyundai,Hyundai i10,2010,235000.0,20.36,5.0,Chennai
Petrol,Hatchback,65628,Automatic,2,Maruti,Maruti Celerio,2016,437000.0,23.1,5.0,Chennai
Petrol,Hatchback,106075,Manual,1,Volkswagen,Volkswagen Polo,2014,409999.99999999994,16.47,5.0,Chennai
Petrol,Hatchback,6023,Manual,1,Maruti,Maruti Ignis,2022,731000.0,20.89,5.0,Chennai
Petrol,Hatchback,38999,Manual,2,Tata,Tata Tiago,2018,501999.99999999994,23.84,5.0,Chennai
Diesel,MUV,105000,Manual,1,Toyota,Toyota Innova Crysta,2018,2050000.0,13.68,7.0,Chennai
Diesel,SUV,7811,Automatic,1,Tata,Tata New Safari,2022,1963000.0,14.08,7.0,Chennai
Petrol,Hatchback,58747,Manual,2,Maruti,Maruti Alto K10,2011,222000.00000000003,20.92,5.0,Chennai
Diesel,SUV,34965,Manual,1,Tata,Tata Harrier,2019,1497000.0,17.0,5.0,Chennai
Diesel,SUV,106360,Manual,2,Ford,Ford Ecosport,2015,529000.0,22.7,5.0,Chennai
Petrol,Hatchback,162049,Manual,2,Maruti,Maruti Ritz,2010,210000.0,18.5,5.0,Chennai
Diesel,SUV,30000,Automatic,1,Mercedes-Benz,Mercedes-Benz GLE,2020,7450000.0,18.9,5.0,Chennai
Petrol,SUV,26000,Manual,1,Toyota,Toyota Urban cruiser,2021,975000.0,17.03,5.0,Chennai
Petrol,SUV,25000,Automatic,1,Kia,Kia Seltos,2020,1450000.0,18.9,5.0,Chennai
Diesel,SUV,35000,Automatic,1,Mercedes-Benz,Mercedes-Benz GLC,2021,6200000.0,18.9,5.0,Chennai
Petrol,Hatchback,57000,Manual,1,Maruti,Maruti Swift,2020,595000.0,21.21,5.0,Chennai
Petrol,SUV,49000,Manual,1,Hyundai,Hyundai Creta,2017,767000.0,15.29,5.0,Chennai
Petrol,Hatchback,30000,Manual,1,Hyundai,Hyundai i20,2022,825000.0,21.0,5.0,Chennai
Petrol,Hatchback,120000,Manual,3,Hyundai,Hyundai Santro,2002,45000.0,18.9,5.0,Chennai
Petrol,Hatchback,40000,Automatic,3,Hyundai,Hyundai i10,2014,335000.0,16.95,5.0,Chennai
Petrol,Hatchback,53250,Automatic,1,Honda,Honda Jazz,2015,558000.0,19.0,5.0,Chennai
Petrol,Hatchback,8848,Manual,1,Tata,Tata Tiago,2022,649000.0,19.01,5.0,Chennai
Diesel,SUV,3000,Automatic,1,Tata,Tata Harrier,2022,2250000.0,14.6,5.0,Chennai
Petrol,Sedan,34628,Manual,1,Skoda,Skoda Rapid,2021,1110000.0,18.97,5.0,Chennai
Petrol,Hatchback,8579,Manual,1,Maruti,Maruti Ignis,2022,672000.0,20.89,5.0,Chennai
Petrol,MUV,17000,Manual,1,Renault,Renault Triber,2022,675000.0,20.0,7.0,Chennai
Petrol,Sedan,40021,Manual,1,Honda,Honda City,2017,795000.0,17.8,5.0,Chennai
Diesel,SUV,52000,Automatic,1,Mercedes-Benz,Mercedes-Benz GLS,2021,11299999.999999998,18.9,7.0,Chennai
Petrol,Hatchback,46946,Manual,2,Hyundai,Hyundai i20,2017,587000.0,18.6,5.0,Chennai
Petrol,Hatchback,30772,Automatic,1,Honda,Honda Jazz,2019,807000.0,18.2,5.0,Chennai
Diesel,Hatchback,74008,Manual,1,Ford,Ford Figo,2012,260000.0,20.0,5.0,Chennai
Diesel,Sedan,31000,Manual,1,Maruti,Maruti Swift Dzire,2017,760000.0,28.4,5.0,Chennai
Diesel,SUV,20000,Manual,1,Mahindra,Mahindra Bolero,2022,1070000.0,16.0,7.0,Chennai
Petrol,Hatchback,20000,Manual,2,Maruti,Maruti Baleno,2020,650000.0,21.01,5.0,Chennai
Petrol,Hatchback,31137,Automatic,1,Maruti,Maruti S-Presso,2020,520000.0,21.7,5.0,Chennai
Diesel,Sedan,90000,Manual,1,Maruti,Maruti Swift Dzire,2011,350000.0,19.3,5.0,Chennai
Petrol,SUV,77000,Manual,1,Hyundai,Hyundai Creta,2015,875000.0,15.8,5.0,Chennai
Diesel,Sedan,16000,Automatic,1,BMW,BMW 3 Series GT,2019,4350000.0,21.76,5.0,Chennai
Diesel,SUV,23000,Automatic,1,Mahindra,Mahindra XUV500,2018,1450000.0,16.0,7.0,Chennai
Petrol,SUV,9000,Manual,1,Mahindra,Mahindra Thar,2022,1725000.0,15.2,4.0,Chennai
Petrol,Hatchback,28733,Manual,1,Datsun,Datsun RediGO,2018,302000.0,22.7,5.0,Chennai
Diesel,Sedan,61828,Automatic,1,Hyundai,Hyundai Verna,2018,1060000.0,22.0,5.0,Chennai
Diesel,MUV,150000,Manual,2,Toyota,Toyota Innova,2007,600000.0,12.8,8.0,Chennai
Petrol,Sedan,60431,Manual,1,Tata,Tata Tigor,2022,722000.0,19.28,5.0,Chennai
Petrol,Hatchback,53269,Manual,1,Maruti,Maruti Celerio X,2018,463000.0,21.63,5.0,Chennai
Petrol,SUV,38000,Automatic,1,MG,MG Hector,2021,1770000.0,18.9,5.0,Chennai
